date,unemployment_rate,gdp,cpi,oil_price,unemployment_rate_6m,unemployment_rate_12m,unemployment_rate_18m,unemployment_rate_24m,gdp_6m,gdp_12m,gdp_18m,gdp_24m,cpi_6m,cpi_12m,cpi_18m,cpi_24m,oil_price_6m,oil_price_12m,oil_price_18m,oil_price_24m
1998-02-01,4.6,12703.742,2.691552555,16.06,-0.09999999999999964,-0.1999999999999993,-0.39999999999999947,-0.5,279.0100000000002,611.8549999999996,901.0290000000005,1174.4050000000007,-0.057570416999999985,-0.3753185549999998,-0.596713555,-0.3123315550000001,-2.6999999999999993,-4.049999999999999,5.200000000000003,13.290000000000003
1998-03-01,4.7,12703.742,2.672304266,15.02,-0.10000000000000053,-0.5,-0.5,-0.7000000000000002,279.0100000000002,611.8549999999996,901.0290000000005,1174.4050000000007,-0.07808628399999984,-0.4347972659999999,-0.6015582659999996,-0.1890182659999997,-0.07000000000000028,-0.35999999999999943,8.86,14.870000000000001
1998-04-01,4.3,12821.339,2.640497846,15.44,0.20000000000000018,0.0,-0.20000000000000018,-0.5,370.33100000000013,605.4089999999997,1006.6409999999996,1309.5689999999995,-0.10544150900000027,-0.413905846,-0.5908778460000002,-0.23125884600000024,-1.049999999999999,1.9000000000000004,7.200000000000001,10.299999999999999
1998-05-01,4.4,12821.339,2.611332031,14.86,0.0,-0.20000000000000018,-0.3000000000000007,-0.40000000000000036,370.33100000000013,605.4089999999997,1006.6409999999996,1309.5689999999995,-0.08775032799999982,-0.4580140309999998,-0.4635110309999999,-0.05268503099999977,-2.01,2.8900000000000006,10.11,13.920000000000002
1998-06-01,4.5,12821.339,2.600204475,13.66,-0.09999999999999964,-0.20000000000000018,-0.5,-0.5,370.33100000000013,605.4089999999997,1006.6409999999996,1309.5689999999995,-0.1623814750000001,-0.5299404750000001,-0.43235647499999974,0.10128752500000004,-2.380000000000001,4.23,12.419999999999998,18.169999999999998
1998-07-01,4.5,12982.752,2.603335947,14.08,-0.20000000000000018,-0.20000000000000018,-0.5,-0.5,332.84499999999935,622.0190000000002,895.3950000000004,1162.5599999999995,-0.22021994700000036,-0.49219194700000024,-0.267816947,0.10963405299999973,-1.6099999999999994,5.99,13.1,15.69
1998-08-01,4.5,12982.752,2.633982138,13.36,-0.09999999999999964,-0.2999999999999998,-0.40000000000000036,-0.40000000000000036,332.84499999999935,622.0190000000002,895.3950000000004,1162.5599999999995,-0.3177481379999998,-0.539143138,-0.2547611380000001,0.24083586199999996,-1.3499999999999996,7.900000000000002,15.990000000000002,17.86
1998-09-01,4.6,12982.752,2.594217982,14.95,-0.39999999999999947,-0.39999999999999947,-0.5999999999999996,-0.6999999999999997,332.84499999999935,622.0190000000002,895.3950000000004,1162.5599999999995,-0.35671098200000007,-0.5234719819999998,-0.11093198199999987,0.3028640180000002,-0.28999999999999915,8.93,14.940000000000001,18.930000000000003
1998-10-01,4.5,13191.67,2.535056337,14.39,-0.20000000000000018,-0.40000000000000036,-0.7000000000000002,-0.6000000000000001,235.07799999999952,636.3099999999995,939.2379999999994,1038.0949999999993,-0.30846433699999976,-0.4854363369999999,-0.12581733699999997,0.38488466300000024,2.9499999999999993,8.25,11.349999999999998,18.689999999999998
1998-11-01,4.4,13191.67,2.523581703,12.85,-0.20000000000000018,-0.3000000000000007,-0.40000000000000036,-0.5000000000000004,235.07799999999952,636.3099999999995,939.2379999999994,1038.0949999999993,-0.370263703,-0.3757607030000001,0.03506529700000005,0.3465632969999999,4.9,12.12,15.930000000000001,21.549999999999997
1998-12-01,4.4,13191.67,2.437823,11.28,-0.10000000000000053,-0.40000000000000036,-0.40000000000000036,-0.5000000000000004,235.07799999999952,636.3099999999995,939.2379999999994,1038.0949999999993,-0.36755899999999997,-0.26997499999999963,0.26366900000000015,0.5342660000000001,6.610000000000001,14.799999999999999,20.549999999999997,17.18
1999-01-01,4.3,13315.597,2.383116,12.47,0.0,-0.2999999999999998,-0.2999999999999998,-0.09999999999999964,289.1740000000009,562.5500000000011,829.7150000000001,867.523000000001,-0.2719719999999999,-0.04759699999999967,0.3298540000000001,0.495352,7.6,14.709999999999999,17.299999999999997,17.11
1999-02-01,4.4,13315.597,2.316234,12.01,-0.20000000000000018,-0.3000000000000007,-0.3000000000000007,-0.20000000000000018,289.1740000000009,562.5500000000011,829.7150000000001,867.523000000001,-0.22139500000000023,0.06298699999999968,0.5585839999999997,0.6635079999999998,9.250000000000002,17.340000000000003,19.21,17.6
1999-03-01,4.2,13315.597,2.237507,14.66,0.0,-0.20000000000000018,-0.30000000000000027,0.09999999999999964,289.1740000000009,562.5500000000011,829.7150000000001,867.523000000001,-0.16676099999999972,0.2457790000000002,0.6595750000000002,0.7243789999999999,9.219999999999999,15.23,19.220000000000002,12.579999999999998
1999-04-01,4.3,13426.748,2.226592,17.34,-0.20000000000000018,-0.5,-0.3999999999999999,0.10000000000000053,401.23199999999997,704.1599999999999,803.0169999999998,844.9459999999999,-0.17697200000000013,0.18264699999999978,0.693349,0.8645199999999997,5.300000000000001,8.399999999999999,15.739999999999998,10.07
1999-05-01,4.2,13426.748,2.153318,17.75,-0.10000000000000053,-0.20000000000000018,-0.30000000000000027,0.09999999999999964,401.23199999999997,704.1599999999999,803.0169999999998,844.9459999999999,-0.005497000000000085,0.40532900000000005,0.7168269999999999,0.9206919999999998,7.219999999999999,11.030000000000001,16.65,10.89
1999-06-01,4.3,13426.748,2.070264,17.89,-0.2999999999999998,-0.2999999999999998,-0.3999999999999999,0.20000000000000018,401.23199999999997,704.1599999999999,803.0169999999998,844.9459999999999,0.09758400000000034,0.6312280000000001,0.9018250000000001,1.1303550000000002,8.189999999999998,13.939999999999998,10.57,9.71
1999-07-01,4.3,13604.771,2.111144,20.07,-0.2999999999999998,-0.2999999999999998,-0.09999999999999964,0.2999999999999998,273.3760000000002,540.5409999999993,578.3490000000002,609.744999999999,0.2243750000000002,0.601826,0.7673239999999999,1.096667,7.109999999999999,9.7,9.509999999999998,6.379999999999999
1999-08-01,4.2,13604.771,2.094839,21.26,-0.10000000000000053,-0.10000000000000053,0.0,0.7000000000000002,273.3760000000002,540.5409999999993,578.3490000000002,609.744999999999,0.2843819999999999,0.779979,0.884903,1.1568740000000002,8.09,9.959999999999997,8.349999999999998,6.209999999999997
1999-09-01,4.2,13604.771,2.070746,23.88,-0.20000000000000018,-0.30000000000000027,0.09999999999999964,0.7999999999999998,273.3760000000002,540.5409999999993,578.3490000000002,609.744999999999,0.4125399999999999,0.826336,0.8911399999999996,1.3179999999999996,6.010000000000002,10.000000000000004,3.3599999999999994,2.0
1999-10-01,4.1,13827.98,2.04962,22.64,-0.2999999999999998,-0.19999999999999973,0.3000000000000007,1.2000000000000002,302.9279999999999,401.78499999999985,443.71399999999994,425.59400000000096,0.3596189999999999,0.8703210000000001,1.0414919999999999,1.4344459999999999,3.099999999999998,10.439999999999998,4.77,-0.4299999999999997
1999-11-01,4.1,13827.98,2.147821,24.97,-0.09999999999999964,-0.19999999999999973,0.20000000000000018,1.4000000000000004,302.9279999999999,401.78499999999985,443.71399999999994,425.59400000000096,0.41082600000000014,0.722324,0.9261889999999999,1.4541780000000002,3.8100000000000023,9.43,3.6700000000000017,-5.299999999999997
1999-12-01,4.0,13827.98,2.167848,26.08,0.0,-0.10000000000000009,0.5,1.7000000000000002,302.9279999999999,401.78499999999985,443.71399999999994,425.59400000000096,0.5336439999999998,0.8042409999999998,1.0327709999999999,1.3970729999999998,5.75,2.3800000000000026,1.5200000000000031,-6.75
2000-01-01,4.0,13878.147,2.335519,27.18,0.0,0.20000000000000018,0.5999999999999996,1.7000000000000002,267.16499999999905,304.97299999999996,336.3689999999988,494.637999999999,0.37745099999999976,0.5429489999999997,0.8722919999999998,1.2219439999999997,2.59,2.3999999999999986,-0.7300000000000004,-7.509999999999998
2000-02-01,4.1,13878.147,2.379221,29.35,0.0,0.10000000000000053,0.8000000000000007,1.6000000000000005,267.16499999999905,304.97299999999996,336.3689999999988,494.637999999999,0.49559700000000007,0.6005210000000001,0.8724920000000003,1.148215,1.8699999999999974,0.259999999999998,-1.8800000000000026,-8.610000000000003
2000-03-01,4.0,13878.147,2.483286,29.89,-0.10000000000000009,0.2999999999999998,1.0,1.7000000000000002,267.16499999999905,304.97299999999996,336.3689999999988,494.637999999999,0.41379600000000005,0.4785999999999997,0.9054599999999997,0.9851939999999999,3.990000000000002,-2.650000000000002,-4.010000000000002,-5.469999999999999
2000-04-01,3.8,14130.908,2.409239,25.74,0.10000000000000009,0.6000000000000005,1.5,2.1000000000000005,98.85699999999997,140.78600000000006,122.66600000000108,329.9400000000005,0.5107020000000002,0.681873,1.074827,1.0565830000000003,7.34,1.6700000000000017,-3.5299999999999976,0.5300000000000011
2000-05-01,4.0,14130.908,2.558647,28.78,-0.10000000000000009,0.2999999999999998,1.5,1.7999999999999998,98.85699999999997,140.78600000000006,122.66600000000108,329.9400000000005,0.31149799999999983,0.5153629999999998,1.043352,0.8934850000000001,5.619999999999997,-0.14000000000000057,-9.11,-1.7600000000000016
2000-06-01,4.0,14130.908,2.701492,31.83,-0.10000000000000009,0.5,1.7000000000000002,1.7999999999999998,98.85699999999997,140.78600000000006,122.66600000000108,329.9400000000005,0.270597,0.4991270000000001,0.863429,0.5402,-3.3699999999999974,-4.229999999999997,-12.5,-6.309999999999999
2000-07-01,4.0,14145.312,2.71297,29.77,0.20000000000000018,0.5999999999999996,1.7000000000000002,1.7999999999999998,37.8080000000009,69.20399999999972,227.47299999999996,374.3209999999999,0.16549799999999992,0.4948410000000001,0.8444929999999999,0.5507360000000001,-0.19000000000000128,-3.3200000000000003,-10.099999999999998,-2.8299999999999983
